0.999625 1.369733 2.333109 0.5530694 0.5425306
0.8523001 0.6851255 0.8832242 1.061253 0.506875
0.3350705 1.061218 1.579328 2.056186 1.98048
1.849365 1.723835 1.900077 1.884574 1.896812
1.756738 1.881157 1.956311 1.979568 1.886664
1.611045 2.01505 2.005136 1.744367 1.705101
1.560258 1.673916 1.917752 1.913384 1.682017
1.712664 1.90014 1.616657 1.727669 2.046374
2.04012 2.12583 2.071013 2.063492 1.995405
1.941573 2.033797 1.846368 1.604033 0.2823766
2.335275 2.340453 1.888266 1.467841 0.568715
2.313211 2.229705 2.384456 2.192088 2.425148
2.184096 2.33506 1.810374 2.027751 1.910931
2.355663 2.221184 0.8209238 1.379579 1.690809
2.041329 1.423504 4.437823 1.565036
