"","SEX","ENGLISH.FREQUENCY.AT.HOME","BOOKS.AT.HOME","HAVE.CALCULATOR","HAVE.COMPUTER","STUDY.DESK","DICTIONARY","INTERNET.CONECTION","ENCYCLOPEDIA","GAME.CONSOLE","VCR.DVD.PLAYER","THREE.OR.MORE.VEHICLES","USUALLY.DO.WELL.IN.MATH","WOULD.LIKE.TO.DO.MORE.MATH.IN.SCHOOL","MATH.HARDER.FOR.ME","ENJOY.LEARNING.MATH","JUST.NOT.GOOD.AT.MATH","LEARN.MATH.QUICK","MATH.IS.BORING","I.LIKE.MATH","PRACTICE.MATH.WO.CALCULATOR","WORK.ON.FRACTIONS.AND.DECIMALS","MEASURE.THINGS.AORUND.SCHOOL","MAKE.TABLES.CHARRTS","LEARN.ABOUT.SHAPE","MEMORIZE.HOW.TO.WORK.PROBLEMS","WORK.WITH.OTHER.STUDENTS","EXPLAIN.MATH.ANSWER","WORK.MATH.ON.OWN","USE.CALCULATOR.IN.MATH","USE.COMPUTER.IN.MATH","THINK.DO.WELL.IN.SCIENCE","WOULD.LIKE.TO.DO.MORE.SCIENCE","SCIENCE.HARDER.FOR.ME","ENJOY.LEARNING.SCIENCE","JUST.NOT.GOOD.AT.SCIENCE","LEARN.SCIENCE.QUICK","SCIENCE.IS.BORING","LIKE.SCIENCE","LOOK.AT.WEATHER.OR.PLANT.AND.WRITE","WATCH.TEACHER.DO.SCIENCE.EXPERIMENT","DESIGN.OR.PLAN.SCIENCE.EXPERIMENT","DO.SCIENCE.EXPERIMENT.IN.CLASS","WORK.WITH.OTHER.STUDENTS.IN.SCIENCE.EXPERIMENT","READ.BOOKS.ABOUT.SCIENCE","MEMORIZE.SCIENCE.FACTS","WRITE.EXPANATION.FOR.SOMETHING.IN.SCIENCE","WORK.SCIENCE.ON.OWN","USE.COMPUTER.IN.SCIENCE","EVER.USE.A.COMPUTER","USE.COMPUTER.FOR.MATH","USE.COMPUTER.FOR.SCIENCE","LIKE.BEING.IN.SCHOOL","MOST.STUDENTS.TRY.BEST","MOST.TEACHERS.WANT.STUDENTS.TO.DO.BEST","SPEND.TIME.ON.TV.VIDEOS","SPEND.TIME.ON.COMPUTER.GAMES","SPEND.TIME.ON.HANGING.OUT","SPEND.TIME.ON.CHORES","SPEND.TIME.TO.PLAY.SPORTS","SPEND.TIME.TO.READ.BOOK.ENJOYMENT","SPEND.TIME.ON.INTERNET","SPEND.TIME.ON.HW","OFTEN.IN.MATH.HW","MINUTES.IN.MATH.HW","OFTEN.HW.IN.SCIENCE","MINUTES.ON.SCIENCE.HW","BORN.IN.USA","PARENTS.BORN.IN.COUNTRY","COMPUTER.USE","RACE","LANGUAGE.AT.HOME","AGE.OF.STUDENT","EXCELLENCE"
"1271",1,1,2,2,2,1,2,2,2,1,1,1,4,3,4,4,3,4,3,4,4,4,4,4,1,4,3,4,4,4,4,3,4,3,2,3,4,4,3,4,4,4,4,2,4,4,4,4,4,1,5,4,1,3,1,5,5,4,3,4,5,5,3,2,3,5,96,1,3,3,3,1,10.16666667,1
"2850",1,1,2,1,1,1,1,1,2,1,1,1,3,1,1,1,2,4,3,2,1,1,1,1,1,2,2,3,1,4,4,2,4,4,1,2,1,2,1,4,3,4,9,1,2,1,1,9,4,1,3,3,1,1,1,2,1,3,2,3,2,1,2,3,3,4,3,1,1,1,2,9,10.33333333,1
"537",2,4,3,2,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,4,4,1,1,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,1,1,2,1,2,2,3,1,3,2,2,1,1,2,3,3,3,2,2,3,1,3,1,9.5,1
"2888",1,3,2,1,1,1,1,2,1,1,1,1,2,1,2,2,3,3,9,2,3,2,4,3,1,2,3,3,4,3,4,2,3,1,1,1,1,3,1,4,1,3,3,1,3,1,1,4,4,1,2,1,1,1,1,3,1,4,2,2,2,2,2,1,3,3,3,1,9,4,3,1,10.5,1
"1547",1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,3,1,1,1,4,2,4,3,4,4,3,3,4,2,1,2,1,3,2,4,1,4,2,4,4,1,4,4,4,4,4,1,5,5,3,1,1,2,1,1,1,1,2,3,2,1,2,1,2,1,3,1,3,1,10.33333333,1
"4645",1,1,3,1,1,1,1,1,1,1,1,2,1,1,4,1,4,2,9,1,9,1,3,1,2,3,2,1,2,3,4,2,2,3,1,3,3,2,1,3,2,4,3,2,3,2,1,1,2,1,5,2,1,2,1,1,1,2,2,2,2,3,2,2,2,5,96,1,1,1,1,9,9.916666667,3
"6551",2,1,1,2,1,2,2,2,2,2,2,2,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,2,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1,5,9,9,9,2,2,9,9,9,9,9,9,9,1,99,3,99,2,3,2,2,9,9.833333333,1
"2310",2,1,5,1,1,1,1,1,1,1,1,1,3,2,1,3,1,1,1,3,3,2,1,2,4,9,1,3,4,1,3,1,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,4,1,2,9,1,1,1,3,4,5,1,5,5,5,2,1,3,9,2,1,1,2,1,2,10.58333333,1
"7082",2,1,2,1,1,1,2,1,1,1,1,2,2,1,4,1,4,2,3,1,2,2,1,1,1,2,4,3,3,4,2,1,2,4,2,4,3,3,2,2,1,3,3,4,1,2,1,3,3,1,1,1,2,1,2,3,3,3,2,4,2,2,3,2,4,5,96,1,1,1,1,2,10.91666667,1
"4616",2,1,2,1,1,1,2,2,1,1,1,1,2,2,4,1,4,3,3,1,1,3,3,2,3,1,3,2,1,4,4,3,2,4,2,3,3,4,1,3,2,2,3,3,1,2,3,1,4,1,4,4,4,2,1,4,3,2,2,5,1,3,3,3,2,3,3,1,1,1,1,9,11,2
"3785",1,1,5,1,1,1,1,1,1,1,1,2,1,4,4,3,4,2,2,3,1,2,4,3,2,2,3,1,1,4,4,1,2,4,2,4,2,3,2,3,3,4,3,2,3,2,2,3,4,1,5,4,3,1,1,4,3,2,2,2,4,3,3,4,3,4,4,1,1,2,1,9,10,3
"4926",1,1,3,1,1,1,1,1,2,1,1,1,2,3,4,3,4,2,2,4,3,3,3,3,3,1,3,3,3,3,4,1,1,4,1,4,1,4,1,4,4,3,3,1,1,3,3,2,4,1,5,2,2,1,1,2,2,4,9,3,2,2,3,2,2,5,96,1,1,1,7,9,10.41666667,2
"7533",2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,4,1,1,3,2,1,3,1,1,2,1,3,4,1,1,4,1,4,1,4,1,4,1,3,3,1,2,1,2,1,4,1,4,5,1,1,1,3,2,4,2,4,2,2,2,2,3,5,96,1,1,2,1,9,10.58333333,3
"4051",2,1,2,2,1,2,1,1,1,1,1,2,3,4,3,4,1,2,1,4,2,3,2,2,1,2,3,3,3,2,4,1,1,3,1,4,2,4,1,4,1,2,4,2,1,2,2,3,4,1,5,5,4,2,1,3,5,5,3,1,2,3,5,3,2,1,2,1,1,3,1,9,9.833333333,1
"5852",1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,4,4,2,2,3,2,3,2,3,2,2,1,2,2,2,2,2,2,2,2,1,4,4,2,1,1,4,4,3,2,3,2,3,2,2,2,4,2,1,1,1,1,9,9.666666667,2
"1032",1,1,1,1,2,1,1,2,1,1,2,2,1,1,4,1,4,2,4,1,1,1,3,1,3,2,3,2,2,3,4,3,4,2,3,2,3,2,3,1,1,4,2,2,2,2,2,2,3,1,3,4,2,2,1,1,2,2,2,3,3,1,2,2,3,4,2,1,1,3,1,9,9.916666667,2
"3076",1,1,5,1,1,1,1,1,2,1,1,2,1,2,4,2,4,1,3,2,1,1,3,3,3,2,2,1,1,3,4,1,1,4,1,4,2,4,1,2,1,3,2,2,3,2,1,1,1,1,1,4,1,3,1,4,2,3,4,3,5,5,3,4,2,4,2,1,1,1,1,9,10.33333333,3
"1386",1,1,4,1,1,1,1,1,2,1,1,1,3,1,4,1,3,3,3,3,3,3,4,4,3,3,3,3,2,3,3,1,1,4,1,4,1,4,1,4,3,4,1,1,1,1,2,1,1,1,4,5,1,1,1,3,4,4,3,4,3,4,4,2,4,5,96,1,1,2,3,1,9.916666667,2
"179",1,1,4,1,1,1,1,1,1,1,1,1,2,3,3,2,3,3,2,2,1,2,2,2,2,1,2,3,1,4,4,2,2,3,2,2,3,4,2,3,2,2,2,3,1,1,1,1,4,1,5,5,2,2,1,2,2,2,2,4,2,2,2,2,3,4,4,1,1,1,1,9,9.916666667,2
"1664",2,3,4,1,1,2,1,2,1,1,2,1,3,2,2,9,3,3,2,2,4,3,4,2,3,3,2,1,4,3,2,4,3,1,2,4,3,1,4,9,3,1,4,3,4,2,3,1,3,1,4,2,4,2,4,3,5,5,4,4,2,3,1,9,3,9,6,2,2,2,5,2,11.41666667,1
"6641",1,3,3,1,1,1,1,1,1,1,1,1,2,1,2,1,4,2,4,1,3,2,4,2,2,2,1,2,1,4,4,3,2,2,2,4,3,4,2,2,4,3,3,4,2,3,2,3,4,1,3,5,2,2,1,3,2,4,3,4,2,2,3,2,3,9,3,1,1,2,3,1,9.916666667,2
"4852",2,9,2,2,1,2,2,1,9,1,1,2,1,2,4,2,4,1,3,1,3,3,3,3,3,1,3,3,3,3,4,1,2,3,2,4,2,4,1,2,1,4,2,2,2,1,1,1,4,1,5,5,1,1,1,2,2,1,2,4,2,2,3,2,2,3,2,1,1,1,1,9,9.75,2
"2620",1,1,3,1,1,1,1,1,2,1,1,2,2,1,1,2,3,2,2,2,2,3,3,2,2,2,1,2,2,3,4,2,1,3,1,4,1,4,1,3,1,2,1,1,2,2,4,1,3,1,3,3,1,2,1,2,2,3,5,5,2,2,2,2,3,4,2,1,1,1,1,9,10.41666667,2
"3246",2,1,3,2,1,2,1,2,1,1,1,2,2,3,1,2,3,2,3,2,2,3,3,2,1,1,4,3,1,4,4,3,2,2,3,2,3,3,3,4,1,4,3,4,2,1,3,2,4,1,1,2,1,1,1,4,2,2,2,5,2,1,2,9,2,1,2,1,1,3,3,1,10.75,2
"4299",2,1,5,1,1,1,1,1,1,1,1,2,2,2,2,1,1,9,3,1,1,1,2,1,1,1,1,1,1,3,1,2,2,3,1,3,1,3,1,3,2,2,1,4,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,4,3,2,1,1,1,1,9,10.58333333,2
"4312",2,3,3,1,1,1,1,1,1,1,1,1,1,1,4,2,4,1,3,1,2,2,4,3,3,2,3,3,1,4,4,2,3,4,2,4,2,3,2,3,3,3,3,3,1,2,2,1,4,1,5,3,2,2,1,2,1,2,1,3,2,1,2,2,2,4,2,2,3,2,3,1,10.25,3
"6369",2,1,3,1,1,2,1,1,1,1,1,1,1,1,4,1,4,1,4,1,1,2,4,2,1,1,1,1,2,2,1,1,1,4,1,4,1,4,1,1,1,2,2,4,2,1,1,2,2,1,3,3,9,9,9,9,9,9,9,9,9,9,9,1,99,2,99,1,1,2,2,9,10.16666667,2
"6336",2,2,4,1,1,1,1,1,2,1,1,1,1,1,3,1,4,2,4,1,2,1,9,1,1,1,3,9,9,9,9,1,1,3,1,4,1,4,1,4,4,4,3,9,9,9,9,1,9,1,5,5,1,1,1,4,3,2,2,5,5,3,3,2,6,3,4,1,1,2,3,1,9.75,1
"7600",2,3,1,1,2,2,1,2,1,1,1,2,1,1,4,1,3,1,4,1,1,1,4,9,1,1,1,1,1,4,4,3,4,2,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,1,3,1,4,2,2,3,2,2,1,2,5,96,1,1,2,3,1,10,2
"2600",1,1,2,1,1,1,1,1,1,1,1,2,2,4,4,3,3,2,1,2,1,1,3,3,3,2,3,1,1,4,4,2,1,4,1,4,2,4,1,3,3,3,3,4,2,2,3,1,4,1,5,5,4,2,1,4,2,2,1,4,2,5,2,1,2,3,3,1,1,1,1,9,10.66666667,3
"5748",2,2,3,1,1,1,1,1,1,1,1,2,1,4,3,2,4,3,3,2,3,1,4,3,3,1,3,2,1,4,4,1,1,3,1,4,1,4,1,2,1,2,1,1,1,1,2,1,4,1,5,5,2,1,1,3,2,1,1,3,2,1,2,1,3,3,2,1,2,1,1,2,10.33333333,3
"4074",2,1,3,1,1,1,1,1,1,1,1,2,1,2,4,3,4,1,2,1,1,3,4,3,2,1,2,1,1,4,4,1,4,4,2,4,3,1,3,1,4,4,4,4,1,1,1,1,4,1,4,4,2,1,1,5,4,3,3,4,2,3,2,2,3,3,3,1,1,2,2,2,10.25,2
"1647",2,3,2,2,1,1,1,1,1,1,1,1,1,2,3,1,4,3,4,1,2,3,4,1,2,1,3,3,3,4,3,1,1,3,1,4,2,4,1,2,2,1,1,3,4,2,4,2,4,1,2,5,1,1,1,3,2,1,2,2,2,2,3,2,4,3,2,1,1,1,3,1,9.833333333,1
"1451",2,1,3,1,1,2,1,2,1,1,1,1,3,1,1,2,2,1,1,3,2,1,3,2,1,3,1,2,4,9,1,3,1,1,3,2,2,1,1,1,2,1,1,3,1,2,1,2,1,1,2,1,2,1,2,1,2,9,1,5,2,2,2,1,3,1,5,2,2,2,3,1,10.16666667,1
"7604",1,3,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,4,1,4,2,2,3,2,1,3,2,3,4,4,2,1,4,1,4,1,4,1,3,4,2,1,2,1,1,4,4,4,1,1,1,1,1,1,4,4,3,1,3,2,5,4,1,2,5,96,2,1,2,3,1,9.833333333,1
"5510",1,2,2,1,1,1,1,1,1,1,1,2,1,1,4,1,2,1,4,1,1,1,1,1,1,1,1,2,1,3,3,3,2,1,2,1,2,3,2,4,1,3,2,1,1,1,1,1,1,1,3,2,1,1,1,3,4,5,5,5,4,4,4,2,3,5,96,1,3,2,3,1,10.25,1
"5843",2,1,5,1,1,1,1,1,1,1,1,1,2,4,4,3,4,2,3,2,4,3,4,3,3,1,3,3,1,3,4,2,4,4,2,4,3,3,2,2,1,3,3,2,4,2,1,2,4,1,5,5,2,1,1,5,1,5,2,5,1,2,1,1,2,4,2,1,1,1,3,1,10,2
"7155",1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,9,1,2,9,1,1,1,2,3,1,1,1,1,3,4,1,1,4,1,4,1,4,1,3,2,3,9,1,9,1,1,1,4,1,5,5,1,1,1,3,3,3,3,1,1,3,3,1,2,1,2,1,1,1,5,9,11.08333333,1
"2251",1,1,3,1,1,1,2,1,2,2,1,2,1,4,4,2,4,2,2,2,1,3,3,3,3,3,3,3,1,4,4,2,4,4,1,4,2,4,1,4,4,4,3,4,4,4,4,3,4,1,5,5,2,3,1,3,2,4,3,5,1,3,2,5,96,5,96,1,1,1,1,9,10.41666667,2
"1792",1,2,3,1,1,1,1,1,1,1,1,1,4,4,1,4,1,4,1,4,1,1,3,1,1,2,1,1,2,2,4,1,1,4,1,4,2,4,1,3,1,4,1,1,1,1,1,2,4,1,2,5,2,1,1,2,2,2,2,3,3,2,2,1,2,3,2,1,1,1,3,1,9.75,2
"5374",1,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,3,4,4,1,2,3,3,4,4,2,4,4,4,3,3,1,4,1,2,2,1,1,4,2,2,4,1,1,5,5,2,1,1,3,3,5,5,5,2,5,2,2,2,3,3,2,2,2,1,2,9.916666667,1
"7292",1,3,5,1,1,1,1,1,2,1,1,2,2,2,2,1,4,2,4,1,3,3,4,3,1,1,3,2,1,3,4,3,4,1,2,2,3,3,2,4,1,3,3,1,1,1,1,1,4,1,2,5,1,1,1,4,2,5,5,5,3,5,3,2,3,2,3,1,2,1,3,1,10.16666667,3
